WindowStart WindowStop SNPcount MeanY Wstat
9901 15650 1 0.00794913 -1.22909599315285
15650 20650 2 0.023955965 -1.63191888830798
20650 26650 4 0.0434228525 -2.12508047691122
26650 27550 4 0.0508298 -2.05552647220448
27550 27650 1 0.0371653 -1.09192061654238
27650 27850 1 0.0351824 -1.10123070250782
27850 35050 9 0.0510374733333333 -3.08036451300782
35050 46350 10 0.0252521501 -3.62983647994071
46350 51550 7 0.0408911985714286 -2.8426661852243
51550 54650 17 0.0300449847058824 -4.63994444927017
54650 57550 16 0.04113041 -4.29321473716165
57550 82150 10 0.021485306 -3.68576463904007
82150 168750 2 0.08898485 -1.20012729395094
168750 255950 8 0.03768477075 -3.08151932156601
255950 259250 8 0.08383254125 -2.46867721608572
259250 265350 26 0.0692474304230769 -4.79965108242932
265350 266150 3 0.341500333333333 0.583682457411205
266150 267550 7 0.0930073 -2.1952645098332
267550 276050 31 0.30293285483871 0.868057373860752
276050 284150 26 0.210754680769231 -1.41184733174229
284150 287750 14 0.370157471428571 1.76434053028816
287750 290550 10 0.26781167 -0.0284377865273215
290550 294150 9 0.473736477777778 2.87358788330603
294150 299850 21 0.225189757142857 -0.958265435520081
299850 303650 13 0.407932707692308 2.33964811084302
303650 307650 20 0.172665685 -2.03804624009731
307650 310550 15 0.252395466666667 -0.315163138945959
310550 314150 18 0.158209122222222 -2.22143502441987
314150 317350 12 0.2897826 0.326196447815302
317350 323850 27 0.161651483703704 -2.6367081823522
323850 325750 10 0.2684506 -0.0189512833048085
325750 326550 4 0.1714015 -0.923313156354753
326550 329050 10 0.3137179 0.653154248325376
329050 331650 11 0.214619690909091 -0.858140504669409
331650 334650 15 0.319096188666667 0.897748162881836
334650 337350 13 0.221896884615385 -0.809703385279952
337350 337950 2 0.36283355 0.618227223208692
337950 339950 9 0.153741111111111 -1.63372621050972
339950 343250 8 0.3203331625 0.672049564512451
343250 350550 26 0.159157442307692 -2.64712904032963
350550 355150 22 0.336795409090909 1.47700594515195
355150 360350 13 0.191824892307692 -1.31878423002924
360350 363250 9 0.330018855555556 0.849244621965342
363250 368450 20 0.243008041 -0.561031646561058
368450 371550 11 0.3659565 1.49850247322811
371550 373650 6 0.1931895 -0.880243361495688
373650 377850 13 0.456325938461538 3.15888438052794
377850 380550 8 0.195215 -0.989518856010179
380550 381850 4 0.47652425 1.94190347838364
381850 389950 27 0.221268841111111 -1.18222909253441
389950 394350 15 0.368850466666667 1.80249888057994
394350 397850 10 0.1723958 -1.44512343007811
397850 399050 4 0.357959355 0.828534811347143
399050 399250 1 0.00269136 -1.25378220561264
399250 405150 23 0.351379173913043 1.83858860706564
405150 410850 25 0.2093484848 -1.41744197450876
410850 410950 1 0.123494 -0.686591241241225
410950 413050 6 0.1310771 -1.59458639557337
413050 416450 11 0.189369009090909 -1.25134849122208
416450 423650 23 0.162223313043478 -2.42069538924936
423650 428050 15 0.314030066666667 0.805623873279117
428050 428750 5 0.09937382 -1.78849659483879
428750 431250 9 0.364123 1.32962061150927
431250 437750 15 0.08733854 -3.31662108116976
437750 439350 10 0.16329234 -1.58028691062531
439350 442450 13 0.118021553846154 -2.56818152651987
442450 445650 18 0.231028538888889 -0.770872923163639
445650 447050 3 0.109131666666667 -1.30600974797501
447050 451150 16 0.22765365625 -0.790168779946685
451150 453250 9 0.138686955555556 -1.84577242921867
453250 455150 4 0.24555075 -0.22702399222859
455150 472050 2 0.05887718 -1.40004212920724
472050 483150 17 0.309713429411765 0.774087399394383
483150 490250 21 0.20411485047619 -1.41171416110475
490250 490350 1 0.0044607 -1.24547482374664
490350 490450 1 0.0722462 -0.927209236873714
490450 493950 6 0.248958436666667 -0.238855306521919
493950 500550 34 0.137264041176471 -3.62649245614755
500550 506750 29 0.196317686206897 -1.85610706345991
506750 508850 9 0.101745922222222 -2.36610758881145
508850 509850 6 0.189675366666667 -0.920658748237898
509850 514650 30 0.134459836666667 -3.47861109958037
514650 518450 21 0.23060476 -0.841755968434638
518450 519050 4 0.11708075 -1.43340529635895
519050 519750 4 0.37276825 0.967595868892325
519750 521750 10 0.14150319 -1.90380097584501
521750 524950 17 0.272327829411765 0.05034886931353
524950 527650 8 0.1333398775 -1.81122009832158
527650 529750 13 0.271203346153846 0.024992727793262
529750 530250 2 0.1337535 -0.902863597045902
530250 534150 23 0.237986873913043 -0.714702665407207
534150 542550 40 0.14744904875 -3.63103986134371
542550 546250 24 0.263645447083333 -0.139885522318888
546250 549150 19 0.141735284210526 -2.6194585424145
549150 549650 2 0.3315805 0.410707068311058
549650 553250 22 0.122313877272727 -3.24638748761889
553250 557350 27 0.193400291851852 -1.8621354809399
557350 561950 27 0.116089747777778 -3.74827359017796
561950 563950 13 0.169879349230769 -1.69029455411323
563950 565650 7 0.108941185714286 -1.99732905372359
565650 565950 2 0.2420263 -0.183932541446509
565950 568650 11 0.0970519909090909 -2.68892507252776
568650 569750 7 0.175486071428571 -1.17068873874945
569750 570350 2 0.0802957 -1.25782322295399
570350 572350 9 0.170387433333333 -1.39925343190671
572350 576150 19 0.134307242105263 -2.77147970015194
576150 579350 19 0.203642978947368 -1.35246526297645
579350 579650 2 0.04570905 -1.48747847149422
579650 582650 14 0.217103771428571 -0.924473273758338
582650 589250 39 0.120113711282051 -4.38687583425704
589250 595850 21 0.24325309047619 -0.569613869496011
595850 600050 19 0.159055113684211 -2.26499359847738
600050 600650 3 0.206612333333333 -0.513267513755888
600650 600950 1 0.000960161 -1.26191050835775
600950 606050 26 0.229131942307692 -0.971880083314664
606050 609450 16 0.143526191875 -2.37014543108536
609450 611550 12 0.255077108333333 -0.238274640540812
611550 612450 6 0.18734955 -0.947407528423097
612450 612950 2 0.3215065 0.343815739610699
612950 615550 14 0.195085314285714 -1.31128869546667
615550 618650 19 0.261018684210526 -0.178222977256559
618650 619450 6 0.154795766666667 -1.32180246980422
619450 620050 4 0.2803435 0.0996929309385422
620050 624250 17 0.180201582352941 -1.73310022948971
624250 627550 19 0.257106484210526 -0.25828945572725
627550 628350 7 0.208427297142857 -0.761483058886885
628350 628850 3 0.384915333333333 0.936746354853671
628850 630650 8 0.21640192 -0.708156690064533
630650 632750 13 0.296195307692308 0.448075068389873
632750 636250 24 0.224210633333333 -1.04695027919395
636250 638650 6 0.319258866666667 0.569656721079103
638650 639150 2 0.15636 -0.752756507283675
639150 642850 16 0.2713263 0.0300361071389477
642850 647250 23 0.152558774782609 -2.6383149383189
647250 649650 13 0.233306240769231 -0.616557397165298
649650 658350 40 0.13338446025 -4.04868737868856
658350 661850 22 0.207538536363636 -1.36953780434929
661850 664350 11 0.1340542 -2.11272026984552
664350 666750 11 0.176827190909091 -1.44665185413688
666750 667350 4 0.135895525 -1.25672752877571
667350 667450 1 0.0168002 -1.1875385658564
667450 667550 1 0.0482147 -1.04004161918168
667550 668350 4 0.21398705 -0.523418929328142
668350 671450 10 0.09035884 -2.66316591580454
671450 673650 15 0.17750816 -1.67694241053231
673650 676650 15 0.108775886666667 -2.92679621460834
676650 679250 15 0.179880839333333 -1.63379670696687
679250 682050 14 0.104056678571429 -2.91045978556179
682050 685250 20 0.193169698 -1.6075129433869
685250 685650 3 0.111891066666667 -1.28356947344771
685650 686050 1 0.242337 -0.128601152789585
686050 690650 25 0.1284143056 -3.31744743593976
690650 694050 20 0.24965454 -0.42147169183159
694050 698750 28 0.155019178214286 -2.84986911803882
698750 701150 8 0.2149081875 -0.727993448382561
701150 704450 15 0.0916079253333333 -3.23898495419263
704450 708550 23 0.25214202173913 -0.395966601274891
708550 712050 18 0.0812318383333333 -3.75482180198764
712050 715050 14 0.200185121428571 -1.22169640306414
715050 720550 26 0.112863392307692 -3.7554479133262
720550 723850 14 0.236314435714286 -0.586984540612183
723850 725650 6 0.0869109666666667 -2.10253279096
725650 726950 8 0.317447625 0.633729644443022
726950 729450 14 0.13889827 -2.29837035558988
729450 734350 27 0.322876874074074 1.29669257942456
734350 735150 7 0.165788471428571 -1.29115520333867
735150 737950 20 0.271783765 0.0431870163391642
737950 740750 17 0.117273458823529 -2.95131011842884
740750 742750 16 0.21986465 -0.936452138205493
742750 747350 30 0.12579094 -3.7015456249341
747350 749350 14 0.195763470714286 -1.2993749921949
749350 751150 10 0.12581482 -2.13673380504536
751150 753850 14 0.199975621428571 -1.22537685307579
753850 756950 19 0.127669893684211 -2.90731864357423
756950 759250 13 0.160553312307692 -1.84817257916675
759250 759550 2 0.09886818 -1.13450201345817
759550 760850 5 0.2276436 -0.441823354538984
760850 763050 16 0.095063105 -3.2803184200547
763050 765750 17 0.159728429411765 -2.12943490422457
765750 768850 17 0.11732613 -2.95029047022642
768850 773250 30 0.221286626333333 -1.2457215074416
773250 773350 1 0.506422 1.11132726124196
773350 776650 22 0.235766159090909 -0.747898418046517
776650 777250 2 0.05641145 -1.41641456874628
777250 779450 13 0.235690538461538 -0.576194248927085
779450 784150 28 0.129149044285714 -3.49260207729151
784150 787150 23 0.164446973913043 -2.37062449474241
787150 791450 24 0.137759960833333 -3.03545613927039
791450 791950 4 0.329745625 0.563597344298168
791950 793550 8 0.11907777125 -2.00062078069763
793550 797350 19 0.239887647368421 -0.610687500129063
797350 802250 12 0.169179351666667 -1.63536766139986
802250 806450 23 0.236668247826087 -0.744394597570865
806450 808950 16 0.133631323125 -2.55597846084832
808950 811950 20 0.22456946 -0.948196006269173
