WindowStart WindowStop SNPcount MeanY Wstat
201 3550 4 0.02725851 -0.221443050721418
3550 11650 4 0.0090383758 -1.09859413082581
11650 22150 3 0.0589753666666667 1.13056611457804
22150 29450 3 0.00961356333333333 -0.927429666592908
29450 31450 1 0.0140713 -0.428149908930556
31450 39250 5 0.0065893124 -1.36008453346164
39250 47650 15 0.0284696806666667 -0.31590965949904
47650 50750 10 0.016481753 -1.17044772119181
50750 51750 6 0.0255041333333333 -0.374651905502553
51750 52050 1 0.012512 -0.465683707095632
52050 52250 1 0.038752 0.165937445890694
52250 54750 10 0.018347439 -1.02843364664228
54750 55950 2 0.08256005 1.72595978360839
55950 57750 10 0.012571721 -1.46807528335341
57750 61750 4 0.084783125 2.54789869100072
61750 67150 12 0.0349039575 0.253958456459377
67150 68850 10 0.052559655 1.57576459117937
68850 70950 15 0.0408619133333333 0.839372385443088
70950 73450 13 0.0723284815384615 3.51236406630279
73450 74150 3 0.0257337333333333 -0.255346403594376
74150 75150 7 0.0692678001428571 2.38244898907585
75150 77250 10 0.025247164 -0.503233768141162
77250 79650 9 0.0465109111111111 1.05810491182434
79650 85250 9 0.0122620944444444 -1.41509749725538
85250 89250 6 0.040147005 0.488713647028681
89250 92050 13 0.0126998593076923 -1.66274236911417
92050 93750 2 0.02539825 -0.219909798887411
93750 102050 20 0.016341295 -1.67038312916931
102050 105450 13 0.0531645123076923 1.84914300259171
105450 112950 8 0.015278544625 -1.12879814194354
112950 130350 7 0.0453306157142857 0.857992893023059
130350 140150 5 0.015778138 -0.865503057313718
140150 141750 5 0.0219014862 -0.535918546348171
141750 146450 2 0.010149105 -0.739012546081653
146450 147850 2 0.021055815 -0.367732508817209
147850 147950 0 NA NA
147950 152450 4 0.0342759 0.116387129366594
152450 163250 9 0.0133169353333333 -1.33892449971836
163250 169850 20 0.0477077535 1.70616791701932
169850 171950 3 0.02276811 -0.378989380479313
171950 172750 5 0.038539932 0.359633011902225
172750 176750 8 0.023037459875 -0.600548955314085
176750 181250 4 0.033365325 0.0725503586821027
181250 195850 19 0.0222472731578947 -1.008416655247
195850 212550 3 0.0692043 1.55703152354464
212550 233650 6 0.0106582185833333 -1.24998918105508
233650 238850 2 0.03117665 -0.0232047826791436
238850 240650 1 0.00330644 -0.687270079850388
240650 247550 4 0.03582084 0.190763408642104
247550 257250 5 0.0152529546 -0.893770650206153
257250 264550 8 0.05417344 1.51927780474005
264550 270050 22 0.0147834220454545 -1.92780060691802
270050 274050 4 0.0175448375 -0.6890772751255
274050 280150 4 0.0068071 -1.20601188947112
280150 282050 1 0.0322181 0.00866040886716649
282050 285650 2 0.01438613 -0.594778143600026
285650 291550 2 0.03415975 0.0783442159798072
291550 297950 14 0.013925675 -1.61510600917801
297950 299750 8 0.033517285 0.112947573508055
299750 301850 8 0.02206734625 -0.666597071169507
301850 307150 19 0.0367219247368421 0.510303492468201
307150 311650 6 0.00533482766666667 -1.56386424905627
311650 317850 4 0.0794775 2.29247605534424
317850 326950 4 0.02025525 -0.558592986381708
326950 332150 7 0.00974162528571429 -1.40851650256161
332150 344850 3 0.00416404333333333 -1.15463143824766
344850 350650 6 0.0607673166666667 1.70451797699387
350650 351850 2 0.032660065 0.0272927895932132
351850 354950 5 0.031181566 -0.0364253830156905
354950 367050 4 0.011812415 -0.965046734641868
367050 375450 11 0.0209016872727273 -0.87471384685715
375450 377650 2 0.02002915 -0.402681656585702
377650 377950 1 0.024681 -0.172764583212606
377950 379750 3 0.01241975 -0.81043393444391
379750 382050 14 0.0227766971428571 -0.81793723166635
382050 388250 4 0.012061255 -0.953067115151844
388250 394950 3 0.0181231333333333 -0.572648074815996
394950 400650 4 0.00855691725 -1.12177243909304
400650 408250 9 0.0190579144444444 -0.924352413731654
408250 414750 7 0.00704371785714286 -1.5803345974735
414750 433550 6 0.0195867133333333 -0.72355181421987
433550 442450 3 0.00499226666666667 -1.12010109270179
442450 447250 3 0.0216861533333333 -0.424098394029191
447250 451350 16 0.012080299375 -1.90430056717939
451350 454850 10 0.028727258 -0.238332638607381
454850 455750 8 0.02395004 -0.538417885024916
455750 456950 4 0.035101625 0.156139063554828
